Company,LinkedIn URL
Oracle,https://in.linkedin.com/company/oracle
Deloitte,https://www.linkedin.com/company/deloitte
NVIDIA,https://in.linkedin.com/company/nvidia
Google,https://in.linkedin.com/company/google
